cgpa,backlogs,certifications,internship,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit,placement_score
5.5,1,5,1,7,5,9,1,1,8,AI&DS,0,Not Eligible,72.5
6.22,1,2,0,1,8,7,7,0,3,CIVIL,0,Not Eligible,56.44
8.61,0,9,2,0,3,0,1,1,8,ECE,0,Not Eligible,66.72
9.28,1,5,2,6,7,8,0,1,9,CSE,1,Tier 2,84.06
9.15,1,4,1,5,2,7,1,1,6,AI&DS,0,Not Eligible,65.3
6.99,2,3,2,4,1,2,4,0,7,CIVIL,0,Not Eligible,51.480000000000004
8.34,2,7,0,7,8,9,1,1,6,MECH,0,Not Eligible,73.68
6.02,3,1,1,10,5,3,4,0,8,ISE,0,Not Eligible,58.03999999999999
6.47,0,6,2,1,10,9,4,0,7,AI&DS,1,Tier 2,84.94
9.48,1,3,2,1,7,3,4,0,10,CIVIL,0,Not Eligible,68.46000000000001
5.07,0,1,1,8,10,1,7,0,1,ECE,0,Not Eligible,64.64
5.43,4,6,1,0,9,10,2,0,3,MECH,0,Not Eligible,53.36
6.04,1,0,1,5,8,9,5,1,3,AI&DS,0,Not Eligible,68.08
5.13,0,3,0,2,0,4,6,0,3,CSE,0,Not Eligible,45.26
5.91,3,8,0,4,0,2,2,1,4,MECH,0,Not Eligible,40.82
7.92,3,3,2,7,10,10,6,1,1,CIVIL,1,Tier 2,81.34
7.11,1,2,2,6,4,0,6,0,2,AI&DS,0,Not Eligible,59.22
9.46,4,9,1,3,8,1,1,0,5,AI&DS,0,Not Eligible,59.92
9.09,3,9,2,7,6,10,5,0,6,ECE,1,Tier 1,91.68
6.71,3,1,2,10,6,6,6,1,9,AI&DS,1,Tier 2,78.42
6.3,4,2,1,10,1,0,5,1,2,MECH,0,Not Eligible,43.1
6.9,0,0,0,9,2,1,5,1,9,AI&DS,0,Not Eligible,58.8
7.95,3,9,0,10,3,9,0,1,7,MECH,0,Not Eligible,69.9
6.34,2,7,0,1,1,6,1,1,9,ISE,0,Not Eligible,51.68
8.12,3,0,2,6,9,0,7,1,4,ISE,0,Not Eligible,65.74
7.05,0,2,1,4,8,6,2,1,7,CIVIL,0,Not Eligible,66.1
7.76,0,2,0,10,4,7,5,1,1,CSE,0,Not Eligible,70.02
7.18,1,1,2,5,6,10,6,1,8,CSE,1,Tier 2,82.86
6.47,2,4,1,2,10,1,5,0,7,ECE,0,Not Eligible,60.44
9.74,0,9,0,10,8,3,6,1,7,CIVIL,1,Tier 1,92.98
8.82,4,2,0,9,4,6,3,0,2,CSE,0,Not Eligible,51.14
5.7,2,2,1,6,5,0,5,0,10,AI&DS,0,Not Eligible,55.9
9.34,2,7,2,6,3,5,5,1,9,MECH,1,Tier 2,81.68
7.44,4,3,2,1,7,4,3,1,8,CIVIL,0,Not Eligible,55.879999999999995
9.47,3,3,0,0,0,10,1,1,1,MECH,0,Not Eligible,38.94
9.0,4,2,1,9,0,5,2,1,1,ECE,0,Not Eligible,48.0
7.13,4,0,2,1,4,7,7,1,5,AI&DS,0,Not Eligible,57.25999999999999
5.11,3,7,1,7,9,10,4,1,2,CIVIL,0,Not Eligible,74.22
6.34,3,0,1,10,8,10,2,0,1,AI&DS,0,Not Eligible,60.68000000000001
7.71,3,6,0,9,1,0,1,0,10,AI&DS,0,Not Eligible,50.42
8.17,3,4,1,2,10,2,2,1,8,AI&DS,0,Not Eligible,61.34
6.29,3,3,1,10,2,10,3,0,4,ECE,0,Not Eligible,61.58
5.7,4,3,1,3,7,8,5,0,2,ISE,0,Not Eligible,54.400000000000006
9.17,1,7,2,7,4,7,5,0,5,ECE,1,Tier 1,85.34
9.92,1,5,0,2,2,3,7,0,6,AI&DS,0,Not Eligible,62.34
7.63,0,0,0,5,5,10,4,0,8,ISE,0,Not Eligible,66.25999999999999
5.86,1,9,1,1,5,9,1,0,7,CIVIL,0,Not Eligible,65.22
6.36,1,7,1,2,4,8,5,1,7,MECH,0,Not Eligible,71.72
5.09,4,1,2,0,4,6,1,0,1,MECH,0,Not Eligible,30.18
9.57,3,5,0,8,5,1,0,0,3,MECH,0,Not Eligible,46.14
5.59,3,8,2,3,1,0,6,0,3,ECE,0,Not Eligible,53.18
7.88,4,0,0,5,5,0,4,0,7,CIVIL,0,Not Eligible,35.76
6.37,1,5,2,6,1,2,6,1,2,CIVIL,0,Not Eligible,62.24000000000001
7.77,4,7,1,1,2,9,1,0,10,ISE,0,Not Eligible,57.53999999999999
8.26,0,9,2,7,1,1,2,1,7,CIVIL,0,Not Eligible,74.02
9.15,3,1,1,8,0,3,2,0,9,MECH,0,Not Eligible,47.8
6.03,2,4,0,9,0,7,2,1,1,CIVIL,0,Not Eligible,48.06
5.05,0,5,0,10,8,4,2,0,2,ISE,0,Not Eligible,64.1
5.68,0,4,1,1,3,4,1,0,6,CIVIL,0,Not Eligible,46.36
9.5,4,2,0,4,4,5,3,0,2,CIVIL,0,Not Eligible,40.5
9.37,1,3,2,1,9,4,4,1,2,MECH,0,Not Eligible,67.74
7.99,3,6,1,10,6,4,2,1,5,CIVIL,0,Not Eligible,67.98
8.0,2,3,0,4,1,6,1,1,7,ECE,0,Not Eligible,48.5
8.33,0,8,2,6,10,5,5,1,4,ISE,1,Tier 1,95.0
5.88,2,9,2,5,9,9,5,0,6,ISE,1,Tier 3,89.25999999999999
9.57,1,1,0,3,8,10,1,0,3,ISE,0,Not Eligible,59.64
7.09,1,4,0,1,3,1,2,1,4,CIVIL,0,Not Eligible,39.68
6.92,2,7,2,6,9,0,0,0,4,ECE,0,Not Eligible,62.34
7.59,3,4,1,9,9,0,1,0,4,AI&DS,0,Not Eligible,57.18000000000001
5.23,1,9,0,8,0,3,4,0,1,AI&DS,0,Not Eligible,55.96
5.83,2,7,0,0,7,1,4,1,4,ISE,0,Not Eligible,51.66
8.69,0,7,1,2,3,5,0,1,4,CSE,0,Not Eligible,63.379999999999995
5.41,2,8,1,6,6,8,7,0,6,AI&DS,1,Tier 3,80.82
8.02,2,9,0,8,2,9,5,1,9,AI&DS,1,Tier 2,83.53999999999999
6.23,4,5,1,4,10,10,5,1,10,MECH,1,Tier 2,76.46000000000001
6.95,1,3,2,6,8,9,1,1,6,CSE,1,Tier 2,77.4
6.44,3,2,2,9,4,7,0,1,6,CSE,0,Not Eligible,61.879999999999995
6.78,3,4,2,6,4,3,1,0,7,ISE,0,Not Eligible,56.06
8.6,4,5,0,3,2,1,1,1,7,CSE,0,Not Eligible,41.2
6.49,3,2,1,4,10,0,0,1,1,CSE,0,Not Eligible,42.980000000000004
7.83,2,1,2,1,8,6,5,0,8,AI&DS,0,Not Eligible,67.16
7.38,4,6,1,7,2,9,6,1,1,ECE,0,Not Eligible,66.75999999999999
8.32,0,4,2,0,1,2,3,0,9,MECH,0,Not Eligible,56.14
9.68,1,8,1,1,10,5,2,0,4,CIVIL,0,Not Eligible,71.36
8.66,1,2,2,2,8,4,2,1,9,ISE,0,Not Eligible,70.32
6.07,1,7,2,6,8,4,2,0,8,AI&DS,1,Tier 2,77.14
5.16,2,5,2,5,9,1,0,0,9,AI&DS,0,Not Eligible,60.81999999999999
6.31,0,3,2,6,3,8,1,1,6,ISE,0,Not Eligible,70.12
7.98,4,8,2,10,3,10,6,1,9,CSE,1,Tier 2,93.46000000000001
5.26,4,4,2,4,10,3,6,1,4,CIVIL,0,Not Eligible,63.019999999999996
7.48,1,9,2,3,9,9,1,0,3,AI&DS,1,Tier 2,81.46000000000001
7.98,0,5,2,6,5,0,4,0,3,CIVIL,0,Not Eligible,65.46000000000001
6.67,0,8,2,2,8,1,6,0,8,CIVIL,1,Tier 2,77.84
8.85,0,6,1,9,7,8,1,0,2,ISE,1,Tier 2,79.7
5.53,3,4,1,6,9,6,5,0,6,ISE,0,Not Eligible,67.56
5.38,3,1,0,1,2,9,3,0,9,AI&DS,0,Not Eligible,41.76
8.64,1,3,2,7,5,1,2,1,9,AI&DS,0,Not Eligible,70.78
7.48,0,1,1,5,6,6,6,0,8,AI&DS,0,Not Eligible,72.46000000000001
8.44,0,2,1,2,5,3,7,0,8,ECE,0,Not Eligible,66.88
7.17,4,9,1,2,2,9,5,1,1,ISE,0,Not Eligible,63.84
6.23,4,2,1,4,8,1,5,0,7,ISE,0,Not Eligible,50.96
9.1,1,3,1,2,3,3,6,0,1,ECE,0,Not Eligible,55.2
9.0,0,5,1,5,1,4,6,0,9,ISE,0,Not Eligible,74.0
8.47,1,2,0,1,8,3,3,1,3,CSE,0,Not Eligible,52.94
6.36,4,9,1,7,2,2,2,1,1,CSE,0,Not Eligible,53.22
7.95,4,0,0,10,5,5,6,1,8,ECE,0,Not Eligible,60.900000000000006
6.8,3,0,0,10,4,0,0,1,7,AI&DS,0,Not Eligible,40.6
5.46,1,8,2,8,1,7,3,0,2,ECE,0,Not Eligible,69.92
9.59,1,8,2,6,0,4,5,0,7,CSE,1,Tier 2,79.18
5.68,0,4,2,2,8,7,6,1,5,CIVIL,1,Tier 3,76.86
9.75,0,8,1,10,2,9,1,0,7,ISE,1,Tier 1,86.0
7.23,3,6,2,9,6,3,2,0,10,MECH,0,Not Eligible,70.46000000000001
5.93,2,8,1,3,8,3,4,0,7,MECH,0,Not Eligible,64.86
7.71,2,6,1,9,8,4,7,1,2,ECE,1,Tier 2,80.92
9.36,2,8,2,1,9,4,3,0,2,MECH,0,Not Eligible,69.72
8.66,1,1,2,8,5,10,5,1,7,CIVIL,1,Tier 2,82.82
9.03,1,7,0,4,7,5,0,0,3,MECH,0,Not Eligible,58.06
8.29,4,6,0,1,8,4,5,0,4,CSE,0,Not Eligible,55.08
8.46,1,5,1,9,2,4,4,1,7,ECE,0,Not Eligible,73.42
9.25,1,4,1,5,5,7,6,1,2,AI&DS,1,Tier 2,76.0
6.25,1,3,2,6,4,5,6,0,2,MECH,0,Not Eligible,64.0
7.45,3,6,2,1,6,1,0,1,9,ISE,0,Not Eligible,56.900000000000006
6.11,1,2,0,0,6,3,2,1,1,ECE,0,Not Eligible,38.72
9.94,0,7,2,6,8,3,3,0,3,CIVIL,1,Tier 2,80.38
9.72,0,1,1,0,0,4,0,1,10,CSE,0,Not Eligible,50.44
5.2,4,0,2,2,5,5,4,1,4,MECH,0,Not Eligible,43.4
8.53,3,1,0,3,4,10,5,1,5,CSE,0,Not Eligible,58.56
9.63,0,8,1,1,3,4,4,1,3,CIVIL,0,Not Eligible,68.26
5.9,3,4,0,6,9,10,1,1,9,AI&DS,0,Not Eligible,67.3
7.84,3,7,0,4,10,5,0,1,5,MECH,0,Not Eligible,59.18000000000001
9.58,4,2,1,0,0,7,7,0,7,AI&DS,0,Not Eligible,52.66
5.17,3,6,0,7,3,3,3,1,7,AI&DS,0,Not Eligible,53.84
8.49,1,1,2,9,9,10,3,1,9,ECE,1,Tier 1,89.98
6.49,3,7,2,6,10,2,5,0,2,AI&DS,0,Not Eligible,71.98
9.62,4,6,0,3,6,8,5,1,3,ECE,0,Not Eligible,64.74
9.86,4,4,2,1,3,2,6,1,4,AI&DS,0,Not Eligible,58.72
9.72,4,3,0,6,0,10,5,0,8,ISE,0,Not Eligible,60.44
7.37,0,0,2,10,9,7,1,0,1,CIVIL,0,Not Eligible,68.74000000000001
9.31,1,4,0,1,0,9,7,1,9,MECH,0,Not Eligible,66.62
9.22,0,8,2,5,0,4,4,1,5,CSE,1,Tier 2,78.94
6.6,2,9,1,0,10,8,5,0,4,CSE,1,Tier 2,76.2
9.14,1,3,1,6,9,2,6,1,8,MECH,1,Tier 2,76.78
5.19,3,8,2,6,4,9,0,1,9,CIVIL,0,Not Eligible,69.88
7.98,4,1,0,3,6,9,5,0,3,CIVIL,0,Not Eligible,47.96
6.15,2,3,2,3,8,7,4,0,4,AI&DS,0,Not Eligible,66.3
5.6,1,8,0,9,7,6,0,0,1,CSE,0,Not Eligible,63.2
5.38,0,3,2,4,1,6,0,1,3,MECH,0,Not Eligible,51.26
8.48,4,4,2,1,8,10,0,0,10,AI&DS,0,Not Eligible,66.46000000000001
6.7,0,7,1,8,3,9,4,1,5,MECH,1,Tier 2,80.4
8.62,1,0,0,9,9,8,5,0,8,CSE,1,Tier 2,76.24
5.33,1,0,0,3,10,7,4,0,1,MECH,0,Not Eligible,48.66
6.58,2,8,0,10,4,2,4,1,1,MECH,0,Not Eligible,61.16
7.7,3,8,0,8,10,5,2,0,3,AI&DS,0,Not Eligible,68.9
8.95,0,3,0,2,4,10,6,1,9,ECE,1,Tier 2,75.9
6.59,2,1,1,8,3,5,4,1,9,ECE,0,Not Eligible,62.18000000000001
8.13,4,8,2,0,5,4,1,1,1,ISE,0,Not Eligible,54.760000000000005
9.43,3,3,0,6,0,2,6,1,4,AI&DS,0,Not Eligible,51.86
8.08,2,5,0,3,1,8,2,1,8,ISE,0,Not Eligible,58.16
6.16,0,0,2,6,3,6,0,0,2,CIVIL,0,Not Eligible,48.82
5.12,1,8,1,9,3,3,5,0,4,ECE,0,Not Eligible,68.74000000000001
9.35,4,4,1,5,7,5,3,1,7,ECE,0,Not Eligible,65.2
5.11,0,2,1,3,8,4,5,1,7,ECE,0,Not Eligible,65.72
9.37,3,3,2,3,3,0,2,1,5,ECE,0,Not Eligible,50.739999999999995
7.64,3,0,2,7,5,1,6,1,7,CIVIL,0,Not Eligible,59.78
9.7,1,8,1,6,3,0,2,0,6,CSE,0,Not Eligible,65.9
8.99,1,7,1,3,3,8,6,0,2,CIVIL,0,Not Eligible,70.98
9.99,4,3,2,10,10,8,6,0,9,CSE,1,Tier 1,91.98
6.75,4,1,1,5,8,4,0,0,5,ISE,0,Not Eligible,44.0
8.84,1,8,0,5,3,7,4,0,2,ECE,0,Not Eligible,67.18
7.01,1,3,2,0,5,9,4,0,6,AI&DS,0,Not Eligible,67.02
7.4,3,8,1,1,8,3,2,1,10,AI&DS,0,Not Eligible,66.8
8.14,1,9,0,3,2,0,4,0,5,CSE,0,Not Eligible,56.78
9.37,2,2,2,5,6,3,2,0,2,CIVIL,0,Not Eligible,55.739999999999995
9.92,0,6,2,5,6,6,5,1,10,CSE,1,Tier 1,95.0
8.84,1,6,0,0,0,10,3,1,10,MECH,0,Not Eligible,62.68000000000001
7.09,4,9,2,7,10,1,5,1,7,ISE,1,Tier 2,82.18
7.11,2,3,1,1,1,1,3,1,10,ISE,0,Not Eligible,47.72
8.69,4,1,2,4,4,5,0,1,2,ECE,0,Not Eligible,45.879999999999995
6.19,2,8,1,3,7,8,7,0,7,ECE,1,Tier 2,79.38
5.55,1,3,0,4,5,2,1,1,6,CIVIL,0,Not Eligible,43.6
6.77,0,7,0,4,6,6,1,1,4,CSE,0,Not Eligible,65.53999999999999
6.44,4,1,2,9,2,9,7,1,4,MECH,0,Not Eligible,65.88
6.48,2,7,0,7,5,8,5,0,6,ISE,0,Not Eligible,71.96000000000001
6.17,3,9,0,9,8,10,4,1,9,CSE,1,Tier 2,86.84
5.21,1,4,2,6,2,8,1,1,10,MECH,0,Not Eligible,66.42
5.09,0,6,1,8,5,10,3,0,6,AI&DS,1,Tier 3,78.68
9.94,1,6,2,10,6,3,0,1,6,CSE,1,Tier 2,81.38
7.14,3,8,2,0,4,1,3,0,1,ECE,0,Not Eligible,49.78
6.92,0,2,1,5,9,0,6,0,5,AI&DS,0,Not Eligible,65.84
8.4,3,9,1,5,7,5,2,1,1,AI&DS,0,Not Eligible,69.3
6.09,1,3,1,1,7,4,4,0,9,ISE,0,Not Eligible,60.18
9.75,2,9,2,10,5,5,4,1,10,MECH,1,Tier 1,94.5
8.93,1,3,1,7,6,6,1,1,4,ECE,0,Not Eligible,67.36
5.45,1,9,0,5,2,8,7,1,2,AI&DS,0,Not Eligible,72.4
7.09,1,4,1,10,6,9,2,0,9,CIVIL,1,Tier 2,76.68
9.4,4,5,0,9,6,9,1,0,6,CIVIL,0,Not Eligible,62.8
9.72,3,2,1,8,3,10,6,0,10,ECE,1,Tier 2,76.94
7.34,3,3,0,9,9,5,1,0,3,MECH,0,Not Eligible,53.18
8.07,3,2,0,4,3,5,1,0,2,MECH,0,Not Eligible,35.14
5.84,4,1,0,6,2,2,2,1,6,ISE,0,Not Eligible,34.68
9.96,2,9,0,5,9,7,1,1,10,ECE,1,Tier 2,82.42
6.16,1,8,0,10,6,8,6,1,6,CIVIL,1,Tier 2,84.32
9.71,2,0,1,4,4,0,4,0,9,ECE,0,Not Eligible,51.42
8.25,4,1,2,5,2,5,7,0,5,CSE,0,Not Eligible,58.5
8.04,3,7,2,3,5,6,1,0,9,MECH,0,Not Eligible,65.08
7.56,1,6,2,2,5,10,2,1,5,AI&DS,1,Tier 2,76.62
6.15,0,0,2,0,5,7,2,1,2,CSE,0,Not Eligible,54.3
5.88,0,4,2,0,1,9,7,0,1,CIVIL,0,Not Eligible,61.76
6.1,2,9,0,5,10,10,7,1,9,MECH,1,Tier 2,89.7
5.93,3,5,1,8,9,7,3,0,10,CIVIL,0,Not Eligible,71.86
8.9,0,4,0,7,6,6,1,1,7,CIVIL,0,Not Eligible,68.3
6.75,2,3,1,1,6,7,2,0,3,CIVIL,0,Not Eligible,48.5
5.29,4,0,1,8,9,10,5,0,6,ISE,0,Not Eligible,65.08
9.85,2,6,1,7,3,8,1,1,10,CIVIL,0,Not Eligible,74.7
9.42,2,8,1,8,10,9,0,1,4,CIVIL,1,Tier 2,83.34
9.64,2,5,2,3,5,6,7,0,9,CSE,1,Tier 2,82.28
9.97,1,2,1,8,3,2,4,1,2,CSE,0,Not Eligible,63.44
5.87,2,9,1,1,3,8,4,1,4,CSE,0,Not Eligible,66.74000000000001
6.98,2,3,2,0,5,0,5,1,1,MECH,0,Not Eligible,47.46
8.79,1,9,0,8,8,7,1,0,7,ISE,1,Tier 2,81.08
8.48,1,4,0,9,6,5,6,1,4,MECH,0,Not Eligible,72.96000000000001
5.77,4,0,0,7,1,10,4,1,5,ISE,0,Not Eligible,47.54
9.08,3,4,0,6,5,2,7,1,1,ISE,0,Not Eligible,59.66
6.12,0,0,1,7,4,8,4,1,2,ECE,0,Not Eligible,62.74
6.12,0,8,2,0,5,5,6,0,4,AI&DS,0,Not Eligible,74.24000000000001
7.68,2,6,2,8,7,6,0,0,2,ECE,0,Not Eligible,68.86
7.96,4,2,0,9,7,10,4,0,1,ECE,0,Not Eligible,59.92
7.9,2,8,2,10,2,1,4,1,10,ISE,1,Tier 2,81.3
5.46,0,1,1,8,8,0,2,0,1,ISE,0,Not Eligible,51.92
9.39,1,6,0,10,5,0,4,1,6,MECH,0,Not Eligible,69.28
6.33,3,8,1,8,6,2,1,0,2,ISE,0,Not Eligible,57.66
5.65,4,5,1,5,8,10,4,0,3,CIVIL,0,Not Eligible,61.8
9.44,1,9,1,3,6,2,1,1,5,CIVIL,0,Not Eligible,67.38
9.78,3,4,1,1,9,7,4,1,3,ISE,0,Not Eligible,68.06
9.31,4,6,1,10,8,6,1,1,6,CIVIL,0,Not Eligible,72.62
9.05,4,5,0,3,0,9,4,0,7,ISE,0,Not Eligible,54.099999999999994
8.28,0,4,1,6,0,7,7,1,10,ECE,1,Tier 2,80.06
7.75,1,1,0,0,2,0,5,1,6,ISE,0,Not Eligible,41.5
5.43,4,7,2,8,8,3,7,1,2,ECE,0,Not Eligible,74.36
7.04,4,6,1,2,0,7,1,0,9,CSE,0,Not Eligible,48.58
6.86,3,5,1,3,0,9,4,1,2,CIVIL,0,Not Eligible,52.72
6.3,0,4,2,4,4,1,6,0,6,CSE,0,Not Eligible,67.1
8.62,2,4,0,2,7,6,0,0,9,CIVIL,0,Not Eligible,52.739999999999995
7.48,0,8,1,3,1,7,2,1,9,AI&DS,0,Not Eligible,73.46000000000001
5.41,2,0,2,4,3,8,7,1,2,AI&DS,0,Not Eligible,61.31999999999999
6.1,1,8,2,0,5,6,2,1,9,AI&DS,0,Not Eligible,72.7
8.42,1,5,1,8,0,8,2,1,8,CSE,0,Not Eligible,72.84
5.38,4,3,0,9,3,1,6,0,7,AI&DS,0,Not Eligible,48.26
9.26,1,9,0,9,3,10,2,1,8,ISE,1,Tier 1,86.52
7.48,4,6,1,3,8,0,7,1,10,AI&DS,0,Not Eligible,68.46000000000001
7.4,0,8,2,8,8,0,6,0,8,CSE,1,Tier 2,89.8
7.96,1,4,1,3,5,10,0,0,1,CIVIL,0,Not Eligible,55.92
9.12,0,4,0,0,7,3,5,1,9,MECH,0,Not Eligible,65.24
6.74,0,7,2,4,9,0,5,1,6,CIVIL,1,Tier 2,77.98
8.39,1,6,1,8,3,6,0,1,1,MECH,0,Not Eligible,62.28
7.83,0,7,2,2,9,7,7,1,1,ISE,1,Tier 2,89.66
6.34,1,9,0,4,7,2,4,1,7,CIVIL,0,Not Eligible,67.18
9.39,1,1,0,2,2,0,0,0,10,CSE,0,Not Eligible,38.78
8.99,1,8,0,2,1,2,2,0,2,ISE,0,Not Eligible,49.480000000000004
8.29,2,2,1,0,5,1,6,0,6,CIVIL,0,Not Eligible,48.58
9.25,0,5,2,1,4,5,7,1,5,ISE,1,Tier 2,80.5
9.34,3,5,1,1,7,10,7,1,5,MECH,1,Tier 2,75.68
8.54,1,1,1,8,0,6,5,1,10,ISE,0,Not Eligible,70.08
9.19,0,6,1,6,10,8,3,1,6,CSE,1,Tier 1,91.38
8.49,4,8,1,7,9,4,4,0,8,CIVIL,0,Not Eligible,73.98
8.4,1,9,2,1,2,3,1,0,5,MECH,0,Not Eligible,59.8
8.09,1,0,2,8,6,0,5,1,8,ISE,0,Not Eligible,70.18
8.76,3,7,1,2,9,10,2,1,5,ECE,1,Tier 2,75.02
5.79,2,1,1,9,3,5,6,1,10,MECH,0,Not Eligible,65.08
9.4,2,0,0,1,9,10,5,0,6,MECH,0,Not Eligible,60.8
9.36,1,7,0,0,4,7,6,0,8,CSE,0,Not Eligible,71.22
5.15,0,1,2,8,7,3,2,1,2,CSE,0,Not Eligible,63.3
9.13,4,5,0,7,0,0,2,1,7,ISE,0,Not Eligible,45.760000000000005
5.64,4,5,2,10,0,4,5,0,3,ECE,0,Not Eligible,57.28
6.68,0,4,2,3,6,9,5,1,9,MECH,1,Tier 2,82.36
8.72,1,7,2,6,8,4,5,0,10,ISE,1,Tier 1,90.44
5.8,4,2,0,2,3,1,0,1,7,AI&DS,0,Not Eligible,27.6
9.09,2,9,0,2,7,5,5,0,3,ECE,0,Not Eligible,68.18
9.16,0,3,2,3,9,9,6,1,8,ISE,1,Tier 1,93.82
7.54,3,6,2,1,6,8,1,0,10,MECH,0,Not Eligible,64.58
5.03,1,6,1,9,1,5,4,0,2,ISE,0,Not Eligible,61.56
6.44,0,7,2,3,4,7,2,1,10,CSE,1,Tier 2,79.88
8.08,4,1,2,9,8,9,7,0,8,CSE,1,Tier 2,82.16
9.91,1,1,1,2,8,2,5,1,7,CIVIL,0,Not Eligible,63.81999999999999
8.16,2,3,2,7,2,9,1,0,5,ECE,0,Not Eligible,64.32
6.3,1,9,2,10,10,1,3,1,4,AI&DS,1,Tier 2,87.1
8.17,1,8,2,1,2,3,6,1,10,MECH,1,Tier 2,75.34
7.7,2,9,1,10,1,8,5,0,10,ECE,1,Tier 2,84.9
8.9,2,8,0,8,6,8,0,1,1,CSE,0,Not Eligible,69.8
5.53,1,3,2,2,5,2,2,1,4,AI&DS,0,Not Eligible,53.56
8.81,2,8,1,3,4,0,1,1,6,MECH,0,Not Eligible,56.120000000000005
7.71,0,2,2,9,6,0,6,1,6,CIVIL,0,Not Eligible,74.92
9.81,2,4,1,9,3,3,5,0,2,CSE,0,Not Eligible,66.12
6.71,2,9,2,2,4,3,7,0,9,CSE,1,Tier 2,76.92
8.16,1,8,1,2,8,10,1,1,1,AI&DS,1,Tier 2,75.32
9.66,0,5,0,7,10,9,2,0,4,ECE,1,Tier 2,80.32
5.51,3,2,0,7,8,5,1,1,4,ISE,0,Not Eligible,50.019999999999996
9.69,3,9,0,5,3,4,1,1,2,ECE,0,Not Eligible,57.379999999999995
8.44,4,8,2,3,5,5,6,1,8,CSE,1,Tier 2,78.38
5.34,2,5,1,0,1,9,5,0,2,ECE,0,Not Eligible,50.68
6.5,2,3,2,3,2,6,5,1,2,ISE,0,Not Eligible,59.5
8.54,0,3,2,7,8,6,6,1,2,CIVIL,1,Tier 2,83.58
5.34,3,7,1,5,5,9,7,0,1,MECH,0,Not Eligible,66.18
7.91,4,6,2,1,7,9,4,1,5,CSE,0,Not Eligible,72.32
6.73,0,0,1,2,10,8,0,0,4,ECE,0,Not Eligible,56.46
8.1,2,5,1,6,4,5,4,0,2,CSE,0,Not Eligible,62.7
5.23,3,7,0,10,1,7,0,0,1,MECH,0,Not Eligible,45.46
9.36,4,2,0,10,6,1,0,1,1,ECE,0,Not Eligible,44.22
9.87,1,8,0,3,5,7,4,1,2,CIVIL,0,Not Eligible,70.24
9.84,3,9,1,3,10,8,6,1,1,MECH,1,Tier 2,83.18
8.75,4,1,0,4,1,3,2,1,9,ISE,0,Not Eligible,40.5
5.65,0,5,1,7,5,4,6,1,2,ISE,0,Not Eligible,72.3
8.79,1,0,2,6,7,4,1,1,3,CSE,0,Not Eligible,63.08
5.12,4,1,0,8,0,1,7,1,9,ISE,0,Not Eligible,44.74
5.11,4,4,1,4,3,4,3,1,5,ECE,0,Not Eligible,45.72
6.62,2,0,1,0,0,8,4,1,8,ISE,0,Not Eligible,48.24
7.44,3,7,1,3,1,3,4,1,7,CIVIL,0,Not Eligible,55.379999999999995
8.85,2,0,1,5,0,9,2,1,6,AI&DS,0,Not Eligible,55.7
8.42,1,8,0,5,5,2,7,1,2,ECE,0,Not Eligible,70.84
7.23,4,9,0,8,10,6,1,0,4,AI&DS,0,Not Eligible,67.46000000000001
6.37,2,2,0,9,5,7,5,0,9,CSE,0,Not Eligible,66.24000000000001
9.99,3,1,1,4,0,9,6,1,7,CSE,0,Not Eligible,64.48
7.13,1,0,2,4,3,5,4,1,3,ISE,0,Not Eligible,58.26
7.26,0,8,1,5,3,5,3,0,6,ISE,0,Not Eligible,72.02
5.82,2,3,2,10,7,4,1,0,8,CSE,0,Not Eligible,68.14
8.97,1,0,0,5,5,10,4,1,8,ECE,0,Not Eligible,67.94
8.47,0,0,1,2,1,5,7,1,8,MECH,0,Not Eligible,60.94
6.1,2,6,1,5,4,8,5,1,8,CSE,0,Not Eligible,74.7
5.41,1,1,0,7,3,1,4,1,10,CIVIL,0,Not Eligible,49.32
8.4,1,6,1,5,9,9,5,1,6,ECE,1,Tier 1,88.3
8.27,2,6,2,10,3,10,0,0,10,MECH,1,Tier 2,79.03999999999999
6.37,1,9,2,4,7,2,0,1,3,MECH,0,Not Eligible,65.24000000000001
9.75,4,8,2,2,4,0,4,0,9,ECE,0,Not Eligible,63.5
5.76,2,6,1,0,2,3,7,0,3,CSE,0,Not Eligible,52.019999999999996
7.16,1,0,1,4,9,1,2,1,4,MECH,0,Not Eligible,50.32
9.72,0,7,2,5,3,5,0,1,10,CIVIL,1,Tier 2,77.94
7.1,0,7,1,5,0,0,4,0,1,AI&DS,0,Not Eligible,54.7
8.19,4,3,2,5,5,7,5,1,2,ECE,0,Not Eligible,64.88
6.99,2,7,0,2,10,9,1,0,6,ISE,0,Not Eligible,66.48
6.37,1,3,2,3,9,5,7,0,1,AI&DS,0,Not Eligible,71.24000000000001
9.92,1,7,0,2,3,8,6,1,9,CSE,1,Tier 2,79.34
7.05,0,4,0,1,5,5,5,1,8,ECE,0,Not Eligible,63.6
9.47,4,3,0,7,1,9,7,1,2,CIVIL,0,Not Eligible,59.44
6.15,0,5,2,6,4,6,7,0,2,AI&DS,1,Tier 2,77.3
6.07,0,1,2,10,10,4,3,0,8,AI&DS,1,Tier 2,79.14
5.16,4,1,1,7,8,7,0,0,8,MECH,0,Not Eligible,48.32
8.26,2,1,1,5,7,7,6,1,1,CSE,0,Not Eligible,67.02
